CBIT definitions: 

MSK_COP_EVNT       0x00000001
MSK_BARO_RNG       0x00000002
MSK_ALPHA_RNG      0x00000004
MSK_BETA_RNG       0x00000008
MSK_PS_RNG         0x00000010
MSK_EXTEMP_RNG     0x00000020
MSK_RH_RNG         0x00000040
MSK_ADS_ITEMP_RNG  0x00000080
MSK_NUMRPTNG_WARN  0x00000100
MSK_ADS_DRATE_RNG  0x00000200
MSK_FAULT_BARO     0x00000400
MSK_FAULT_ALPHA    0x00000800
MSK_FAULT_BETA     0x00001000
MSK_FAULT_PS       0x00002000
MSK_CAN_WARN       0x00004000
MSK_COP_ADS        0x00008000
MSK_COP_IRS        0x00010000
MSK_IRS_DRATE      0x00020000
MSK_TRH_IO         0x00040000
MSK_GYRO_RANGE     0x00080000
MSK_ACC_RANGE      0x00100000
MSK_ORION_COMM     0x00200000
MSK_ORION_MSGCOUNT 0x00400000
MSK_ORION_BITFAIL  0x00800000
MSK_GPS1_AGE       0x01000000
MSK_GPS1_NAVSTAT   0x02000000
MSK_CAN_RXOVR      0x04000000
MSK_CAN_RXBUFOVR   0x08000000
MSK_CAN_TXBUFOVR   0x10000000
MSK_CAN_BSOFF_RST  0x20000000
MSK_GPS2_AGE       0x40000000
MSK_GPS2_NAVSTAT   0x80000000

CBIT2 definitions: 

MSK_RTC_WARN             0x00000001
MSK_ALFAT_IO             0x00000002
MSK_ALFAT_MOUNT          0x00000004
MSK_ALFAT_DIRLIST        0x00000008
MSK_ALFAT_FILEOPEN       0x00000010
MSK_ALFAT_FWUPDATE       0x00000020
MSK_ALFAT_WRITEFILE      0x00000040
MSK_ALFAT_CLOSEFILE      0x00000080
MSK_ALFAT_GPS1COMM       0x00000100
MSK_ALFAT_GPS2COMM       0x00000200
MSK_IMUDAT_SERIAL_FAULT  0x00000400
MSK_ADPDAT_SERIAL_FAULT  0x00000800
MSK_DFLASH_IO_ERROR      0x00001000
MSK_SERIAL_OVRFLO_GPS1   0x00002000
MSK_SERIAL_OVRFLO_GPS2   0x00004000
MSK_WARN_NOTALIVE_ADS    0x00008000
MSK_WARN_NOTALIVE_IRS    0x00010000
MSK_WARN_NOTALIVE_GPSUSB 0x00020000
MSK_NO_RATE_INTEG        0x00040000
MSK_WARN_PVTEKF          0x00080000
MSK_WARN_ICPEKF          0x00100000
MSK_FILTER_RESET         0x00200000

    TIME       CBIT        CBIT2
 [HRS UTC]                      

  17.59306     400000     1c0000
  17.59333     400000     1c0000
  17.59361     400000     1c0000
  17.59389     400000     1c0000
  17.59417     400000     1c0000
  17.59444     400000     1c0000
  17.59472     400000     1c0000
  17.59500     400000     1c0000
  17.59528     400000     1c0000
  17.59556     400000     1c0000
  17.59583     400000     1c0000
  17.59611     400000     1c0000
  17.59639     400000     1c0000
  17.59667     400000     1c0000
  17.59694     400000     1c0000
  17.59722     400000     1c0000
  17.59750     400000     1c0000
  17.59778     400000     1c0000
  17.59806     400000     1c0000
  17.59833     400000     1c0000
  17.59861     400000     1c0000
  17.59889     400000     1c0000
  17.59917     400000     1c0000
  17.59945     400000     1c0000
  17.59972     400000     1c0000
  17.60000     400000     1c0000
  17.60028     400000     1c0000
  17.60056     400000     1c0000
  17.60083     400000     1c0000
  17.60111     400000     1c0000
  17.60139     400000     1c0000
  17.60167     400000     1c0000
  17.60194     400000     1c0000
  17.60222     400000     1c0000
  17.60250     400000     1c0000
  17.60278     400000     1c0000
  17.60306     400000     1c0000
  17.60333     400000     1c0000
  17.60361     400000     1c0000
  17.60389     400000     1c0000
  17.60417     400000     1c0000
  17.60444     400000     1c0000
  17.60472     400000     1c0000
  17.60500     400000     1c0000
  17.60528     400000     1c0000
  17.60556     400000     1c0000
  17.60583     400000     1c0000
  17.60611     400000     1c0000
  17.60639     400000     1c0000
  17.60667     400000     1c0000
  17.60695     400000     1c0000
  17.60722     400000     1c0000
  17.60750     400000     1c0000
  17.60778     400000     1c0000
  17.60806     400000     1c0000
  17.60833     400000     1c0000
  17.60861     400000     1c0000
  17.60889     400000     1c0000
  17.60917     400000     1c0000
  17.60945     400000     1c0000
  17.60972     400000     1c0000
  17.61000     400000     1c0000
  17.61028     400000     1c0000
  17.61056     400000     1c0000
  17.61083     400000     1c0000
  17.61111     400000     1c0000
  17.61139     400000     1c0000
  17.61167     400000     1c0000
  17.61194     400000     1c0000
  17.61222     400000     1c0000
  17.61250     400000     1c0000
  17.61278     400000     1c0000
  17.61306     400000     1c0000
  17.61333     400000     1c0000
  17.61361     400000     1c0000
  17.61389     400000     1c0000
  17.61417     400000     1c0000
  17.61444     400000     1c0000
  17.61472     400000     1c0000
  17.61500     400000     1c0000
  17.61528     400000     1c0000
  17.61556     400000     1c0000
  17.61583     400000     1c0000
  17.61611     400000     1c0000
  17.61639     400000     1c0000
