Lattitude (Deg),Longitude (Deg),Altitude,Month,Day,Year,Hour,Minute,Second,Millisecond,Humidity,Temp,Pressure,Wind Speed,Wind Direction
1,1,0,1,6,80,1,28,23,31,30,30,100623,0.00,49
1,1,0,1,6,80,1,28,23,31,30,30,100618,0.00,49
1,1,0,1,6,80,1,28,24,0,30,30,100675,0.00,49
1,1,0,1,6,80,1,28,24,198,30,30,100604,0.00,49
1,1,0,1,6,80,1,28,24,142,30,30,100610,0.00,49
1,1,0,1,6,80,1,28,24,142,30,30,100675,0.00,49
1,1,0,1,6,80,1,28,24,88,29,30,100610,0.00,49
1,1,0,1,6,80,1,28,24,31,29,30,100607,0.00,49
1,1,0,1,6,80,1,28,25,0,29,30,100672,0.00,49
1,1,0,1,6,80,1,28,25,0,29,30,100656,0.00,49
1,1,0,1,6,80,1,28,25,198,29,30,100646,0.00,49
1,1,0,1,6,80,1,28,25,142,29,30,100666,0.00,49
1,1,0,1,6,80,1,28,25,88,29,30,100640,0.00,49
1,1,0,1,6,80,1,28,25,88,29,30,100616,0.00,49
1,1,0,1,6,80,1,28,25,31,29,30,100649,0.00,49
1,1,0,1,6,80,1,28,26,0,29,30,100663,0.00,49
1,1,0,1,6,80,1,28,26,198,29,30,100633,0.00,49
1,1,0,1,6,80,1,28,26,198,28,30,100625,0.00,49
1,1,0,1,6,80,1,28,26,142,28,30,100653,0.00,49
1,1,0,1,6,80,1,28,26,88,28,30,100638,0.00,49
1,1,0,1,6,80,1,28,26,31,28,30,100661,0.00,49
1,1,0,1,6,80,1,28,26,31,28,30,100622,0.00,49
1,1,0,1,6,80,1,28,27,0,28,30,100689,0.00,49
1,1,0,1,6,80,1,28,27,198,28,30,100618,0.00,49
1,1,0,1,6,80,1,28,27,142,28,30,100647,0.00,49
1,1,0,1,6,80,1,28,27,142,28,30,100631,0.00,49
1,1,0,1,6,80,1,28,27,88,28,30,100588,0.00,49
1,1,0,1,6,80,1,28,27,31,28,30,100638,0.00,49
1,1,0,1,6,80,1,28,28,0,28,30,100660,0.00,49
1,1,0,1,6,80,1,28,28,0,28,30,100645,0.00,49
1,1,0,1,6,80,1,28,28,198,28,30,100650,0.00,49
1,1,0,1,6,80,1,28,28,142,28,30,100652,0.00,49
1,1,0,1,6,80,1,28,28,88,27,30,100663,0.00,49
1,1,0,1,6,80,1,28,28,88,27,30,100627,0.00,49
1,1,0,1,6,80,1,28,28,31,27,30,100640,0.00,49
1,1,0,1,6,80,1,28,29,0,27,30,100648,0.00,49
1,1,0,1,6,80,1,28,29,198,27,30,100631,0.00,49
1,1,0,1,6,80,1,28,29,198,27,30,100645,0.00,49
1,1,0,1,6,80,1,28,29,142,27,30,100651,0.00,49
1,1,0,1,6,80,1,28,29,88,27,30,100639,0.00,49
1,1,0,1,6,80,1,28,29,31,27,30,100646,0.00,49
1,1,0,1,6,80,1,28,29,31,27,30,100659,0.00,49
1,1,0,1,6,80,1,28,30,0,27,30,100613,0.00,49
1,1,0,1,6,80,1,28,30,198,27,30,100654,0.00,49
1,1,0,1,6,80,1,28,30,142,27,30,100630,0.00,49
1,1,0,1,6,80,1,28,30,142,27,30,100650,0.00,49
1,1,0,1,6,80,1,28,30,88,27,30,100637,0.00,49
1,1,0,1,6,80,1,28,30,31,27,30,100632,0.00,49
1,1,0,1,6,80,1,28,31,0,27,30,100662,0.00,49
1,1,0,1,6,80,1,28,31,0,27,30,100626,0.00,49
1,1,0,1,6,80,1,28,31,198,27,30,100632,0.00,49
1,1,0,1,6,80,1,28,31,142,27,30,100662,0.00,49
1,1,0,1,6,80,1,28,31,88,27,30,100645,0.00,49
1,1,0,1,6,80,1,28,31,88,27,30,100632,0.00,49
1,1,0,1,6,80,1,28,31,31,27,30,100640,0.00,49
1,1,0,1,6,80,1,28,32,0,27,30,100644,0.00,49
1,1,0,1,6,80,1,28,32,198,27,30,100624,0.00,49
1,1,0,1,6,80,1,28,32,198,27,30,100642,0.00,49
1,1,0,1,6,80,1,28,32,142,27,30,100649,0.00,49
1,1,0,1,6,80,1,28,32,88,27,30,100620,0.00,49
1,1,0,1,6,80,1,28,32,31,27,30,100606,0.00,49
1,1,0,1,6,80,1,28,32,31,27,30,100630,0.00,49
1,1,0,1,6,80,1,28,33,0,27,30,100637,0.00,49
1,1,0,1,6,80,1,28,33,198,27,30,100654,0.00,49
1,1,0,1,6,80,1,28,33,142,27,30,100646,0.00,49
1,1,0,1,6,80,1,28,33,142,27,30,100635,0.00,49
1,1,0,1,6,80,1,28,33,88,27,30,100611,0.00,49
1,1,0,1,6,80,1,28,33,31,27,30,100656,0.00,49
1,1,0,1,6,80,1,28,34,0,27,30,100625,0.00,49
